[12:56:25] 📚 [2025-10-21] Processing 85 articles
[12:56:26] ⏭️  [2025-10-21] Already exists: england-womens-double-world-cup-winner-emily-scarratt-retires-from-rugby
[12:56:31] ✅ [2025-10-21] Scraped: GB election commission freezes financial, administrative pow...
[12:56:32] ✅ [2025-10-21] Scraped: WHO says India has much to do on toxic cough syrup despite s...
[12:56:35] ⏭️  [2025-10-21] Already exists: smog-theatre-will-cannons-and-towers-clear-polluted-air
[12:56:35] ⏭️  [2025-10-21] Already exists: top-basketball-european-club-competitions-to-return-to-israel-on-december-1-say-organisers
[12:56:35] ⏭️  [2025-10-21] Already exists: 3-civilians-killed-in-muridke-operation-claims-punjab-minister
[12:56:38] ⏭️  [2025-10-21] Already exists: ke-says-nepra-revision-has-slashed-its-tariff-by-rs76-per-unit-will-have-far-reaching-consequences
[12:56:39] ⏭️  [2025-10-21] Already exists: jannik-sinner-skipping-davis-cup-finals-to-focus-on-australian-open-preparations
[12:56:41] ✅ [2025-10-21] Scraped: Play resumes after rain interruption in Pakistan’s crucial W...
[12:56:45] ⏭️  [2025-10-21] Already exists: france-intensifies-hunt-for-louvre-raiders-who-stole-royal-jewels
[12:56:46] ⏭️  [2025-10-21] Already exists: lesser-known-parties-withdraw-plea-seeking-to-become-opposition-alliance-ttaps-namesake
[12:56:46] ⏭️  [2025-10-21] Already exists: maccabi-tel-aviv-to-decline-tickets-for-european-tie-at-aston-villa
[12:56:49] ⏭️  [2025-10-21] Already exists: 26th-amendment-case-justice-mazhar-says-regular-constitutional-benches-branches-of-same-tree
[12:56:49] ⏭️  [2025-10-21] Already exists: liquor-and-arms-recovery-case-islamabad-court-issues-arrest-warrant-for-gandapur-over-persistent-no-shows
[12:56:52] ✅ [2025-10-21] Scraped: Patient Stubbs leads South Africa fightback but Pakistan sti...
[12:56:55] ⏭️  [2025-10-21] Already exists: china-hawk-sanae-takaichi-named-japans-first-woman-prime-minister
[12:56:55] ⏭️  [2025-10-21] Already exists: lahore-karachi-among-top-5-most-polluted-cities-in-world
